Mutant,testBalde_E1,testBalde_getVolume,testBalde_E2_4caso_true,testBalde_Solucao,testBalde_E2_2caso_true,testBalde_E4,testBalde_E2_3caso_true,testBalde_E3,testBalde_E2_1caso_true,Total,Equiv?
ROR_35, , ,1, , , , , , ,1, 
AOIS_39, , , ,1, , , , , ,1, 
ROR_38, , , , , , , , , ,0, 
AOIS_38, , ,1,1, , , , , ,2, 
ROR_37, , , ,1, ,1, , , ,2, 
AOIS_37, , , ,1, , ,1, , ,2, 
ROR_32, , , , , , , , , ,0, 
AOIS_36, , , ,1, ,1, ,1, ,3, 
ROR_31, , , ,1, ,1, ,1, ,3, 
AOIS_35, , , ,1, ,1, , , ,2, 
ROR_34, , , ,1, ,1, ,1, ,3, 
AOIS_34, , , ,1, ,1, ,1, ,3, 
ROR_33, , ,1,1, ,1, ,1, ,4, 
AOIS_33, , , ,1, ,1, , , ,2, 
AOIS_32, , , ,1, ,1, ,1, ,3, 
AOIS_31, , , ,1, ,1, , , ,2, 
ROR_30, , ,1,1, ,1, ,1, ,4, 
AOIS_30, , , ,1, ,1, ,1, ,3, 
ROR_39, , , , , , , , , ,0, 
ROR_25, , , ,1, , ,1, , ,2, 
AOIS_29, , , ,1, ,1, , ,1,3, 
ROR_24, , , ,1, , , , , ,1, 
AOIS_28, , ,1,1, , , , , ,2, 
ROR_27, , , ,1, ,1, ,1, ,3, 
AOIS_27, , , ,1, , ,1, , ,2, 
ROR_26, , , ,1, ,1, ,1, ,3, 
AOIS_26,1, ,1,1, , , ,1,1,5, 
ROR_21, , , , ,1, , , , ,1, 
AOIS_25,1, , ,1, ,1,1, , ,4, 
ROR_20, , , ,1, ,1, ,1, ,3, 
AOIS_24, , , ,1, ,1, ,1, ,3, 
ROR_23, , , ,1, ,1,1,1, ,4, 
AOIS_23, , , ,1, ,1, , ,1,3, 
ROR_22, , , ,1, ,1,1,1, ,4, 
AOIS_22,1, , ,1, ,1,1,1, ,5, 
AOIS_21,1, , ,1, ,1, ,1,1,5, 
AOIS_20, , , , , , , , , ,0, 
ROR_29, , ,1, , , , , , ,1, 
ROR_28, , , , , , ,1, , ,1, 
AOIS_98, , , , , , , , , ,0, 
AOIS_97, , , , , , , , , ,0, 
AOIS_96, , , , , , , , , ,0, 
AOIS_95, , , , , , , , , ,0, 
AOIS_94, , , , , , , , , ,0, 
AOIS_93, , , , , , , , , ,0, 
AOIS_92, , , , , , , , , ,0, 
AOIS_89, , , ,1, , , , , ,1, 
AOIS_88, , , ,1, , , , , ,1, 
AOIS_87, , , ,1, , , , , ,1, 
AOIS_86, , , , , , , , , ,0, 
AOIS_85, , , , , , , , , ,0, 
